"Year","Purpose","Energy Units (PJ)"
1983,"Net exports",1208.1
1983,"Consumption",3122.7
1984,"Net exports",1712.1
1984,"Consumption",3221.2
1985,"Net exports",2377.7
1985,"Consumption",3370.7
1986,"Net exports",2576.9
1986,"Consumption",3402.5
1987,"Net exports",2641
1987,"Consumption",3514.4
1988,"Net exports",2845.3
1988,"Consumption",3623
1989,"Net exports",2586.1
1989,"Consumption",3832.7
1990,"Net exports",2882.1
1990,"Consumption",3945.9
1991,"Net exports",3281.2
1991,"Consumption",3949.9
1992,"Net exports",3619.2
1992,"Consumption",3982.7
1993,"Net exports",3642.7
1993,"Consumption",4081.8
1994,"Net exports",3636.5
1994,"Consumption",4181.9
1995,"Net exports",3931.1
1995,"Consumption",4365.4
1996,"Net exports",3926.6
1996,"Consumption",4505.5
1997,"Net exports",4177.5
1997,"Consumption",4611.1
1998,"Net exports",4767.9
1998,"Consumption",4777.6
1999,"Net exports",4679.3
1999,"Consumption",4884.7
2000,"Net exports",5229.4
2000,"Consumption",4971
2001,"Net exports",5868.1
2001,"Consumption",5011.8
2002,"Net exports",5915.5
2002,"Consumption",5097
2003,"Net exports",6058.7
2003,"Consumption",5134.7
2004,"Net exports",6183.2
2004,"Consumption",5280.9
2005,"Net exports",6493.2
2005,"Consumption",5394.9
2006,"Net exports",6377.8
2006,"Consumption",5541.7
2007,"Net exports",6743.9
2007,"Consumption",5718.6
2008,"Net exports",6744
2008,"Consumption",5733.2
2009,"Net exports",7038.7
2009,"Consumption",5844.2
2010,"Net exports",8062.1
2010,"Consumption",5823.8
2011,"Net exports",7879.7
2011,"Consumption",5902.9
2012,"Net exports",8188.2
2012,"Consumption",5888.4
2013,"Net exports",9223.8
2013,"Consumption",5916.7
2014,"Net exports",10289
2014,"Consumption",5871
2015,"Net exports",10919.6
2015,"Consumption",5898.4
2016,"Net exports",11459.9
2016,"Consumption",6034.9
2017,"Net exports",11912.7
2017,"Consumption",6104.7
2018,"Net exports",12391.7
2018,"Consumption",6168.1
2019,"Net exports",13586.2
2019,"Consumption",6188.3
2020,"Net exports",14067.9
2020,"Consumption",6001
2021,"Net exports",13306.7
2021,"Consumption",5769.2
2022,"Net exports",13494.2
2022,"Consumption",5765.1
2023,"Net exports",12630.6
2023,"Consumption",5882.2
